S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,
0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.2,0.018181818181818184,0.018181818181818184,0.2,0.2,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.12941176470588237,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.12941176470588237,0.011764705882352941,0.011764705882352941,0.3647058823529412,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.12941176470588237,
0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.4666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.12941176470588237,0.24705882352941178,0.12941176470588237,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.24705882352941178,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,
0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.31428571428571433,0.028571428571428574,
0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.31428571428571433,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.14666666666666667,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.14666666666666667,0.013333333333333334,0.14666666666666667,0.013333333333333334,0.28,0.013333333333333334,0.013333333333333334,0.013333333333333334,
0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.31428571428571433,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.2,0.2,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.2,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.2,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.2,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.2,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,0.018181818181818184,
0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.16923076923076924,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.16923076923076924,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.16923076923076924,0.16923076923076924,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,
0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.3230769230769231,0.015384615384615385,0.16923076923076924,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.16923076923076924,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
0.022222222222222223,0.022222222222222223,0.022222222222222223,0.4666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,
0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.31428571428571433,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.24444444444444446,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.24444444444444446,0.022222222222222223,
0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.31428571428571433,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.14666666666666667,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.14666666666666667,0.013333333333333334,0.14666666666666667,0.013333333333333334,0.28,0.013333333333333334,0.013333333333333334,0.013333333333333334,
