,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14
novemb,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,3.8285769499003634E-4,8.982720389921927E-8,1.5036497338164059E-7,2.8645099672560954E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.18842103083786E-4,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3046620488668274E-4,2.4523606575660103E-4,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,2.9987554315594775E-4,5.162440070755303E-4,5.226439407144072E-8
unbeliev,9.914256552208227E-8,1.7422376004810734E-4,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,4.929971160367008E-4,5.741908758946022E-4,8.982720389921927E-8,1.5036497338164059E-7,3.580458471943947E-4,2.06932872010984E-7,1.6446273998867983E-4,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,3.226767003355489E-4,5.226439407144072E-8
rip,9.924170808760433E-5,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.9152451408547045E-4,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,0.0011891864579571614,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,5.978849863440487E-4,5.969187376988693E-4,1.0002513118930479E-4,6.452243557999378E-8,2.0910984067983433E-4
hack,9.914256552208227E-8,1.740497103377696E-7,8.712478062758293E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,3.2876118153581254E-4,7.775648823612477E-4,1.1477781597328431E-7,1.6833473892560058E-4,3.1852357950428174E-7,3.503080506109393E-4,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,2.9987554315594775E-4,6.452243557999378E-8,5.226962051084786E-4
tag,9.914256552208227E-8,1.740497103377696E-7,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6115308980058714E-4,2.3070791570394178E-7,6.094703725617681E-4,8.215249392379616E-8,1.913331809045659E-7,1.7974423500233773E-4,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,5.184629555497689E-4,1.1477781597328431E-7,1.6833473892560058E-4,6.373656825880678E-4,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,3.587788130410898E-4,1.991055169731983E-4,9.992520598332148E-8,6.452243557999378E-8,2.6137423475127504E-4
anim,9.914256552208227E-8,1.740497103377696E-7,5.809286439046765E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,3.6573097141728974E-4,8.223464641771996E-5,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,3.2876118153581254E-4,5.184629555497689E-4,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,3.911379429220129E-4,1.2267931125555106E-4,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,5.226962051084786E-4
kickstand,9.914256552208227E-8,0.0013925717324124944,2.9031916237115274E-7,1.6303944657890254E-7,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,1.6438714034151613E-4,1.913331809045659E-7,8.991703110311847E-5,1.5036497338164059E-7,1.4326129578803913E-4,2.0713980488299498E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,3.365013112788479E-4,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.280954535071729E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.458695801557377E-5,1.568454466083936E-4
surround,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,0.0014625582765674422,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5051533835502221E-4,7.166644531925395E-5,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,0.0011731531570280034,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,1.9995033717262625E-4,6.452243557999378E-8,5.226439407144072E-8
scan,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,6.523208257621892E-4,2.53133476016236E-7,1.6099209770288427E-7,2.309386236196457E-4,1.2186970057223917E-7,1.6438714034151613E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,6.57358064630078E-4,5.184629555497689E-4,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.280954535071729E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,2.3922572638961033E-4,3.980121273360338E-4,9.992520598332148E-8,6.458695801557377E-5,2.6137423475127504E-4
verifi,4.958119701759335E-4,1.740497103377696E-7,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.219915702728114E-4,2.465396342653123E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,4.14072676893979E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,6.3996539759178E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,2.581542647555552E-4,5.226439407144072E-8
visual,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,3.26241932604384E-4,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,4.1084462211290465E-4,1.9152451408547045E-4,8.982720389921927E-8,4.512452851183034E-4,7.159485046878518E-8,2.06932872010984E-7,3.2876118153581254E-4,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,2.4523606575660103E-4,1.6024395539769746E-7,4.783318996925692E-4,7.958253480617049E-4,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
logitech,9.914256552208227E-8,8.704226013991857E-4,8.712478062758293E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,4.616465393235875E-4,1.2186970057223917E-7,2.465396342653123E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,1.4326129578803913E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,3.444482257358262E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.975195312209743E-4,2.5606293952832465E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6040419935309515E-4,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
granddaught,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,0.0011271056760178927,4.616465393235875E-4,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,0.0010527051786448657,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,1.0002513118930479E-4,3.871991359155427E-4,5.226439407144072E-8
tough,9.914256552208227E-8,1.740497103377696E-7,5.809286439046765E-4,1.6320248602548143E-4,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,6.01610258499944E-4,3.580458471943947E-4,2.06932872010984E-7,1.6446273998867983E-4,2.591019268114787E-7,3.444482257358262E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,5.947418401330367E-4,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.196726397381309E-4,1.9890661036283552E-7,1.0002513118930479E-4,6.452243557999378E-8,5.2316658465512156E-5
plane,5.949545356980158E-4,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.219915702728114E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,1.4326129578803913E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,5.046678836320953E-4,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,5.21473811939678E-4,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,2.9987554315594775E-4,1.2910939359556754E-4,5.226439407144072E-8
blurri,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,8.532097737062465E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,1.4326129578803913E-4,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,9.558892620923495E-4,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,0.0011731531570280034,1.2267931125555106E-4,1.6024395539769746E-7,1.196726397381309E-4,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
headach,9.914256552208227E-8,1.740497103377696E-7,0.0017422052933892876,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,5.184629555497689E-4,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.503080506109393E-4,2.975195312209743E-4,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,6.411360655461876E-4,3.587788130410898E-4,1.9890661036283552E-7,1.9995033717262625E-4,6.452243557999378E-8,1.568454466083936E-4
hole,9.924170808760433E-5,1.740497103377696E-7,2.9031916237115274E-7,3.26241932604384E-4,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,0.0015548706627956839,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,0.0011891864579571614,3.840304255494764E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,3.9980074913926924E-4,6.452243557999378E-8,5.226439407144072E-8
host,9.924170808760433E-5,6.963728910614162E-4,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,3.6573097141728974E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,4.14072676893979E-4,3.2876118153581254E-4,2.591019268114787E-7,3.444482257358262E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,7.958253480617049E-4,9.992520598332148E-8,6.458695801557377E-5,4.181674169655972E-4
public,9.924170808760433E-5,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,2.4386127084505057E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,6.411360655461876E-4,5.978849863440487E-4,1.9890661036283552E-7,9.992520598332148E-8,1.2910939359556754E-4,4.181674169655972E-4
arm,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,6.573021038842931E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.280954535071729E-4,1.3033586901766507E-7,3.6779282025765106E-4,1.6040419935309515E-4,1.1955308665147944E-7,1.9890661036283552E-7,6.995763670892337E-4,6.452243557999378E-8,5.226439407144072E-8
lemon,9.924170808760433E-5,1.740497103377696E-7,2.9031916237115274E-7,1.6320248602548143E-4,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.0713980488299498E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,8.919641490450989E-4,5.119979115706282E-4,1.3033586901766507E-7,1.2255675450105002E-7,3.206481547507926E-4,1.1955308665147944E-7,7.958253480617049E-4,9.992520598332148E-8,5.162440070755303E-4,5.226439407144072E-8
paint,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,0.0012323695613508663,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.593610287382902E-4,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.975195312209743E-4,1.2796748602115175E-7,1.3033586901766507E-7,3.6779282025765106E-4,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,5.996511611059122E-4,1.2910939359556754E-4,5.226439407144072E-8
tube,2.9752683913176884E-4,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,3.221451875034714E-4,2.3070791570394178E-7,1.2186970057223917E-7,2.465396342653123E-4,3.8285769499003634E-4,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,0.0013145518308186087,5.184629555497689E-4,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,1.9995033717262625E-4,6.452243557999378E-8,1.0458105253695288E-4
unstabl,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,5.065200855084882E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.223464641771996E-5,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.593610287382902E-4,1.1477781597328431E-7,1.6816657235324734E-7,9.558892620923495E-4,3.499580925184209E-7,2.9722230891206233E-7,8.959003696340835E-4,1.3033586901766507E-7,6.129063292597512E-4,1.6024395539769746E-7,1.1955308665147944E-7,3.980121273360338E-4,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
status,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,4.5922604170911053E-4,3.365013112788479E-4,3.1852357950428174E-7,7.002661431293602E-4,2.9722230891206233E-7,5.119979115706282E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,7.743337493955054E-4,1.568454466083936E-4
dvd,9.924170808760433E-5,1.740497103377696E-7,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,2.4386127084505057E-4,1.6438714034151613E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.166644531925395E-5,2.06932872010984E-7,1.6446273998867983E-4,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.18842103083786E-4,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3046620488668274E-4,2.4523606575660103E-4,1.6040419935309515E-4,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,6.794893873228008E-4
trick,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,5.065200855084882E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,3.2876118153581254E-4,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,7.002661431293602E-4,2.9722230891206233E-7,1.280954535071729E-4,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,7.174380729955281E-4,7.958253480617049E-4,9.992520598332148E-8,6.452243557999378E-8,2.6137423475127504E-4
studi,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6320248602548143E-4,0.0010127870375409602,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,1.6438714034151613E-4,0.0011481904186083,3.593986428007763E-4,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,5.947418401330367E-4,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,4.8089211014849006E-4,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,1.0458105253695288E-4
panel,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,2.4386127084505057E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,4.14072676893979E-4,4.930596230829453E-4,2.591019268114787E-7,3.444482257358262E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,0.0011891864579571614,2.5606293952832465E-4,1.3046620488668274E-4,1.2255675450105002E-7,3.206481547507926E-4,1.1955308665147944E-7,1.9890661036283552E-7,3.9980074913926924E-4,6.452243557999378E-8,1.568454466083936E-4
