0.3333333333333333,0.6666666666666666
0.6666666666666666,0.3333333333333333
0.5,0.5
0.3333333333333333,0.6666666666666666
0.375,0.625
0.7142857142857143,0.2857142857142857
0.5,0.5
0.5714285714285714,0.42857142857142855
0.5714285714285714,0.42857142857142855
0.3333333333333333,0.6666666666666666
0.4444444444444444,0.5555555555555556
0.625,0.375
0.7333333333333333,0.26666666666666666
0.7,0.3
0.8,0.2
0.5,0.5
0.625,0.375
0.7142857142857143,0.2857142857142857
0.5,0.5
0.5,0.5
0.2,0.8
0.6153846153846154,0.38461538461538464
0.8888888888888888,0.1111111111111111
0.3333333333333333,0.6666666666666666
0.4444444444444444,0.5555555555555556
0.36363636363636365,0.6363636363636364
0.7142857142857143,0.2857142857142857
0.5,0.5
0.2222222222222222,0.7777777777777778
0.7272727272727273,0.2727272727272727
0.4,0.6
0.5,0.5
0.8571428571428571,0.14285714285714285
0.6666666666666666,0.3333333333333333
0.8333333333333334,0.16666666666666666
0.4,0.6
0.5,0.5
0.5454545454545454,0.45454545454545453
0.6666666666666666,0.3333333333333333
0.625,0.375
0.375,0.625
0.625,0.375
0.6666666666666666,0.3333333333333333
0.8333333333333334,0.16666666666666666
0.8571428571428571,0.14285714285714285
0.45454545454545453,0.5454545454545454
0.875,0.125
0.5238095238095238,0.47619047619047616
0.9,0.1
0.7142857142857143,0.2857142857142857
0.5,0.5
0.5555555555555556,0.4444444444444444
0.6,0.4
0.4444444444444444,0.5555555555555556
0.8,0.2
0.2222222222222222,0.7777777777777778
0.4,0.6
0.4,0.6
0.125,0.875
0.5,0.5
0.8571428571428571,0.14285714285714285
0.5,0.5
0.625,0.375
0.6,0.4
0.6666666666666666,0.3333333333333333
0.5,0.5
0.8,0.2
0.6,0.4
0.7777777777777778,0.2222222222222222
0.6,0.4
0.5,0.5
0.4444444444444444,0.5555555555555556
0.6,0.4
0.6363636363636364,0.36363636363636365
0.42857142857142855,0.5714285714285714
0.7142857142857143,0.2857142857142857
0.5714285714285714,0.42857142857142855
0.8571428571428571,0.14285714285714285
0.5714285714285714,0.42857142857142855
0.5,0.5
0.6,0.4
0.23529411764705882,0.7647058823529411
0.9629629629629629,0.037037037037037035
0.75,0.25
0.375,0.625
0.5833333333333334,0.4166666666666667
0.6,0.4
0.5,0.5
0.75,0.25
0.3333333333333333,0.6666666666666666
0.5,0.5
0.3333333333333333,0.6666666666666666
0.6666666666666666,0.3333333333333333
0.6666666666666666,0.3333333333333333
0.7142857142857143,0.2857142857142857
0.5882352941176471,0.4117647058823529
0.2857142857142857,0.7142857142857143
0.8333333333333334,0.16666666666666666
0.6428571428571429,0.35714285714285715
0.6363636363636364,0.36363636363636365
0.5,0.5
0.9166666666666666,0.08333333333333333
0.125,0.875
0.5,0.5
0.6,0.4
0.375,0.625
0.4,0.6
0.5,0.5
0.5,0.5
0.6,0.4
0.5,0.5
0.4,0.6
0.45454545454545453,0.5454545454545454
0.7333333333333333,0.26666666666666666
0.7142857142857143,0.2857142857142857
0.5714285714285714,0.42857142857142855
0.7142857142857143,0.2857142857142857
0.3,0.7
0.3,0.7
0.7333333333333333,0.26666666666666666
0.8666666666666667,0.13333333333333333
0.7777777777777778,0.2222222222222222
0.5,0.5
0.42857142857142855,0.5714285714285714
0.5,0.5
0.5,0.5
0.5833333333333334,0.4166666666666667
0.5,0.5
0.75,0.25
0.47058823529411764,0.5294117647058824
0.42857142857142855,0.5714285714285714
0.6666666666666666,0.3333333333333333
0.375,0.625
0.6666666666666666,0.3333333333333333
0.6666666666666666,0.3333333333333333
0.8571428571428571,0.14285714285714285
0.6923076923076923,0.3076923076923077
0.5,0.5
0.5,0.5
0.5714285714285714,0.42857142857142855
0.5,0.5
0.6666666666666666,0.3333333333333333
0.8181818181818182,0.18181818181818182
0.6,0.4
0.75,0.25
0.5333333333333333,0.4666666666666667
0.7142857142857143,0.2857142857142857
0.875,0.125
0.3333333333333333,0.6666666666666666
0.8,0.2
0.3333333333333333,0.6666666666666666
0.5,0.5
0.2222222222222222,0.7777777777777778
0.15384615384615385,0.8461538461538461
0.625,0.375
0.3333333333333333,0.6666666666666666
0.75,0.25
0.5,0.5
0.2857142857142857,0.7142857142857143
0.25,0.75
0.4,0.6
0.375,0.625
0.2727272727272727,0.7272727272727273
0.3125,0.6875
0.6666666666666666,0.3333333333333333
0.5,0.5
0.8,0.2
0.6666666666666666,0.3333333333333333
0.42857142857142855,0.5714285714285714
0.5,0.5
0.6,0.4
0.4,0.6
0.6666666666666666,0.3333333333333333
0.4166666666666667,0.5833333333333334
0.6666666666666666,0.3333333333333333
0.5,0.5
0.3333333333333333,0.6666666666666666
0.375,0.625
0.47058823529411764,0.5294117647058824
0.7857142857142857,0.21428571428571427
0.8,0.2
0.5,0.5
0.25,0.75
